BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
ERR1190811_bin.10.fa_BGC_c00001_NODE_3_...region001	c00001_NODE_3_..	NODE_3_length_263726_cov_10.618100	NRPS-like	NRPS		
ERR1190811_bin.15.fa_BGC_c00014_NODE_24...region001	c00014_NODE_24..	NODE_246_length_66421_cov_15.865971	RRE-containing	RiPPs		
ERR1190811_bin.15.fa_BGC_c00031_NODE_37...region001	c00031_NODE_37..	NODE_3767_length_11079_cov_14.262609	betalactone	Others		
ERR1190811_bin.19.fa_BGC_c00021_NODE_94...region001	c00021_NODE_94..	NODE_948_length_32204_cov_35.370400	arylpolyene	Others		
ERR1190811_bin.2.fa_BGC_c00003_NODE_59...region001	c00003_NODE_59..	NODE_59_length_115440_cov_25.577891	ranthipeptide	RiPPs		
ERR1190811_bin.2.fa_BGC_c00014_NODE_32...region001	c00014_NODE_32..	NODE_326_length_59088_cov_27.654041	RiPP-like	RiPPs		
ERR1190811_bin.2.fa_BGC_c00015_NODE_34...region001	c00015_NODE_34..	NODE_344_length_57635_cov_25.586263	RRE-containing	RiPPs		
ERR1190811_bin.2.fa_BGC_c00017_NODE_42...region001	c00017_NODE_42..	NODE_421_length_51949_cov_24.605715	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.2.fa_BGC_c00032_NODE_92...region001	c00032_NODE_92..	NODE_921_length_32760_cov_30.292738	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.2.fa_BGC_c00037_NODE_11...region001	c00037_NODE_11..	NODE_1121_length_28944_cov_27.303472	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.2.fa_BGC_c00047_NODE_16...region001	c00047_NODE_16..	NODE_1619_length_22218_cov_15.304020	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.25.fa_BGC_c00020_NODE_12...region001	c00020_NODE_12..	NODE_1258_length_26734_cov_18.624649	ranthipeptide	RiPPs		
ERR1190811_bin.26.fa_BGC_c00118_NODE_44...region001	c00118_NODE_44..	NODE_4440_length_9446_cov_40.524225	RRE-containing	RiPPs		
ERR1190811_bin.3.fa_BGC_c00001_NODE_18...region001	c00001_NODE_18..	NODE_18_length_160340_cov_91.198521	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.3.fa_BGC_c00004_NODE_12...region001	c00004_NODE_12..	NODE_123_length_85928_cov_112.574220	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.3.fa_BGC_c00008_NODE_19...region001	c00008_NODE_19..	NODE_194_length_72817_cov_98.090033	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.3.fa_BGC_c00024_NODE_79...region001	c00024_NODE_79..	NODE_797_length_35724_cov_105.350865	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.3.fa_BGC_c00043_NODE_16...region001	c00043_NODE_16..	NODE_1653_length_21879_cov_103.902997	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.3.fa_BGC_c00050_NODE_24...region001	c00050_NODE_24..	NODE_2440_length_16247_cov_101.559721	ranthipeptide	RiPPs		
ERR1190811_bin.31.fa_BGC_c00009_NODE_30...region001	c00009_NODE_30..	NODE_304_length_60626_cov_7.678113	arylpolyene	Others		
ERR1190811_bin.32.fa_BGC_c00265_NODE_21...region001	c00265_NODE_21..	NODE_21936_length_2170_cov_14.530024	ranthipeptide	RiPPs		
ERR1190811_bin.33.fa_BGC_c00003_NODE_14...region001	c00003_NODE_14..	NODE_140_length_81569_cov_23.675123	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.37.fa_BGC_c00006_NODE_71...region001	c00006_NODE_71..	NODE_719_length_38139_cov_3.117320	ranthipeptide	RiPPs		
ERR1190811_bin.37.fa_BGC_c00076_NODE_36...region001	c00076_NODE_36..	NODE_3606_length_11527_cov_3.129446	RRE-containing	RiPPs		
ERR1190811_bin.38.fa_BGC_c00003_NODE_44...region001	c00003_NODE_44..	NODE_4432_length_9465_cov_2.315409	RRE-containing	RiPPs		
ERR1190811_bin.4.fa_BGC_c00008_NODE_68...region001	c00008_NODE_68..	NODE_681_length_39295_cov_3.545107	ranthipeptide	RiPPs		
ERR1190811_bin.4.fa_BGC_c00026_NODE_13...region001	c00026_NODE_13..	NODE_1360_length_25228_cov_4.277559	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.41.fa_BGC_c00001_NODE_6_...region001	c00001_NODE_6_..	NODE_6_length_213982_cov_13.185423	RRE-containing	RiPPs		
ERR1190811_bin.41.fa_BGC_c00012_NODE_87...region001	c00012_NODE_87..	NODE_87_length_98741_cov_13.701325	ranthipeptide	RiPPs		
ERR1190811_bin.41.fa_BGC_c00012_NODE_87...region002	c00012_NODE_87..	NODE_87_length_98741_cov_13.701325	ranthipeptide	RiPPs		
ERR1190811_bin.42.fa_BGC_c00006_NODE_40...region001	c00006_NODE_40..	NODE_403_length_53476_cov_7.118418	RRE-containing	RiPPs		
ERR1190811_bin.43.fa_BGC_c00008_NODE_48...region001	c00008_NODE_48..	NODE_487_length_47821_cov_6.115689	lanthipeptide-class-i	RiPPs		
ERR1190811_bin.43.fa_BGC_c00095_NODE_58...region001	c00095_NODE_58..	NODE_5873_length_7321_cov_4.510597	RRE-containing	RiPPs		
ERR1190811_bin.50.fa_BGC_c00004_NODE_47...region001	c00004_NODE_47..	NODE_47_length_124716_cov_11.898043	ranthipeptide	RiPPs		
ERR1190811_bin.50.fa_BGC_c00006_NODE_91...region001	c00006_NODE_91..	NODE_91_length_97100_cov_12.583812	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.51.fa_BGC_c00125_NODE_66...region001	c00125_NODE_66..	NODE_6601_length_6525_cov_15.368934	RRE-containing	RiPPs		
ERR1190811_bin.51.fa_BGC_c00149_NODE_78...region001	c00149_NODE_78..	NODE_7886_length_5576_cov_19.238906	betalactone	Others		
ERR1190811_bin.52.fa_BGC_c00007_NODE_29...region001	c00007_NODE_29..	NODE_294_length_61515_cov_6.578637	RRE-containing	RiPPs		
ERR1190811_bin.52.fa_BGC_c00041_NODE_18...region001	c00041_NODE_18..	NODE_1880_length_19981_cov_5.277276	ranthipeptide	RiPPs		
ERR1190811_bin.54.fa_BGC_c00002_NODE_57...region001	c00002_NODE_57..	NODE_57_length_116486_cov_10.099407	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.54.fa_BGC_c00006_NODE_13...region001	c00006_NODE_13..	NODE_130_length_83354_cov_9.745735	ranthipeptide	RiPPs		
ERR1190811_bin.54.fa_BGC_c00012_NODE_23...region001	c00012_NODE_23..	NODE_235_length_67175_cov_13.624374	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.54.fa_BGC_c00013_NODE_24...region001	c00013_NODE_24..	NODE_248_length_66314_cov_10.802593	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.54.fa_BGC_c00042_NODE_13...region001	c00042_NODE_13..	NODE_1398_length_24861_cov_14.200274	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.54.fa_BGC_c00055_NODE_25...region001	c00055_NODE_25..	NODE_2585_length_15444_cov_12.046332	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.54.fa_BGC_c00057_NODE_26...region001	c00057_NODE_26..	NODE_2658_length_15073_cov_12.040218	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.54.fa_BGC_c00063_NODE_34...region001	c00063_NODE_34..	NODE_3408_length_12159_cov_16.821629	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.54.fa_BGC_c00081_NODE_54...region001	c00081_NODE_54..	NODE_5400_length_7964_cov_12.351372	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.55.fa_BGC_c00002_NODE_31...region001	c00002_NODE_31..	NODE_312_length_60061_cov_44.405509	NRPS	NRPS		
ERR1190811_bin.55.fa_BGC_c00016_NODE_11...region001	c00016_NODE_11..	NODE_1194_length_27642_cov_42.939319	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.56.fa_BGC_c00083_NODE_57...region001	c00083_NODE_57..	NODE_5738_length_7505_cov_3.487383	RRE-containing	RiPPs		
ERR1190811_bin.57.fa_BGC_c00002_NODE_84...region001	c00002_NODE_84..	NODE_84_length_101653_cov_3.931790	RRE-containing	RiPPs		
ERR1190811_bin.57.fa_BGC_c00005_NODE_41...region001	c00005_NODE_41..	NODE_416_length_52272_cov_3.801540	RRE-containing	RiPPs		
ERR1190811_bin.57.fa_BGC_c00013_NODE_11...region001	c00013_NODE_11..	NODE_1124_length_28858_cov_3.770718	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.57.fa_BGC_c00070_NODE_65...region001	c00070_NODE_65..	NODE_6518_length_6609_cov_3.291120	RRE-containing	RiPPs		
ERR1190811_bin.58.fa_BGC_c00087_NODE_50...region001	c00087_NODE_50..	NODE_5083_length_8393_cov_3.214680	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.58.fa_BGC_c00148_NODE_80...region001	c00148_NODE_80..	NODE_8090_length_5446_cov_2.472083	ranthipeptide	RiPPs		
ERR1190811_bin.59.fa_BGC_c00025_NODE_29...region001	c00025_NODE_29..	NODE_2935_length_13760_cov_4.864283	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.59.fa_BGC_c00148_NODE_85...region001	c00148_NODE_85..	NODE_8503_length_5192_cov_3.206541	ranthipeptide	RiPPs		
ERR1190811_bin.59.fa_BGC_c00295_NODE_22...region001	c00295_NODE_22..	NODE_22504_length_2122_cov_2.613933	RRE-containing	RiPPs		
ERR1190811_bin.61.fa_BGC_c00061_NODE_23...region001	c00061_NODE_23..	NODE_2364_length_16659_cov_7.973801	RRE-containing	RiPPs		
ERR1190811_bin.64.fa_BGC_c00040_NODE_23...region001	c00040_NODE_23..	NODE_2375_length_16600_cov_4.951405	ranthipeptide	RiPPs		
ERR1190811_bin.66.fa_BGC_c00005_NODE_61...region001	c00005_NODE_61..	NODE_610_length_42310_cov_25.031050	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.66.fa_BGC_c00019_NODE_18...region001	c00019_NODE_18..	NODE_1851_length_20149_cov_21.990744	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.66.fa_BGC_c00066_NODE_38...region001	c00066_NODE_38..	NODE_3873_length_10789_cov_20.478666	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.66.fa_BGC_c00187_NODE_10...region001	c00187_NODE_10..	NODE_10269_length_4352_cov_22.571794	ranthipeptide	RiPPs		
ERR1190811_bin.7.fa_BGC_c00001_NODE_10...region001	c00001_NODE_10..	NODE_10_length_201918_cov_14.190694	NRPS-like	NRPS		
ERR1190811_bin.7.fa_BGC_c00008_NODE_80...region001	c00008_NODE_80..	NODE_80_length_102963_cov_14.993149	RRE-containing	RiPPs		
ERR1190811_bin.7.fa_BGC_c00011_NODE_61...region001	c00011_NODE_61..	NODE_617_length_42041_cov_15.462083	ranthipeptide	RiPPs		
ERR1190811_bin.7.fa_BGC_c00018_NODE_14...region001	c00018_NODE_14..	NODE_1418_length_24571_cov_14.154552	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.72.fa_BGC_c00034_NODE_28...region001	c00034_NODE_28..	NODE_2827_length_14227_cov_3.611417	ranthipeptide	RiPPs		
ERR1190811_bin.73.fa_BGC_c00001_NODE_10...region001	c00001_NODE_10..	NODE_109_length_89073_cov_6.627132	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.73.fa_BGC_c00040_NODE_13...region001	c00040_NODE_13..	NODE_1371_length_25114_cov_6.879883	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.73.fa_BGC_c00043_NODE_15...region001	c00043_NODE_15..	NODE_1594_length_22482_cov_6.349579	ranthipeptide	RiPPs		
ERR1190811_bin.73.fa_BGC_c00044_NODE_16...region001	c00044_NODE_16..	NODE_1606_length_22350_cov_6.172954	ranthipeptide	RiPPs		
ERR1190811_bin.75.fa_BGC_c00004_NODE_96...region001	c00004_NODE_96..	NODE_965_length_31794_cov_4.373547	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.75.fa_BGC_c00007_NODE_14...region001	c00007_NODE_14..	NODE_1483_length_23886_cov_3.402249	ranthipeptide	RiPPs		
ERR1190811_bin.78.fa_BGC_c00075_NODE_98...region001	c00075_NODE_98..	NODE_9869_length_4519_cov_2.563844	betalactone	Others		
ERR1190811_bin.78.fa_BGC_c00210_NODE_17...region001	c00210_NODE_17..	NODE_17581_length_2650_cov_2.799615	RRE-containing	RiPPs		
ERR1190811_bin.8.fa_BGC_c00007_NODE_31...region001	c00007_NODE_31..	NODE_313_length_59925_cov_9.723568	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.8.fa_BGC_c00008_NODE_34...region001	c00008_NODE_34..	NODE_349_length_57111_cov_9.385674	NRPS	NRPS		
ERR1190811_bin.80.fa_BGC_c00017_NODE_12...region001	c00017_NODE_12..	NODE_1225_length_27183_cov_3.210631	RRE-containing	RiPPs		
ERR1190811_bin.80.fa_BGC_c00025_NODE_14...region001	c00025_NODE_14..	NODE_1497_length_23619_cov_3.276863	ranthipeptide	RiPPs		
ERR1190811_bin.80.fa_BGC_c00037_NODE_19...region001	c00037_NODE_19..	NODE_1984_length_19210_cov_3.588463	NRPS	NRPS		
ERR1190811_bin.81.fa_BGC_c00001_NODE_4_...region001	c00001_NODE_4_..	NODE_4_length_229647_cov_23.223710	ranthipeptide	RiPPs		
ERR1190811_bin.81.fa_BGC_c00001_NODE_4_...region002	c00001_NODE_4_..	NODE_4_length_229647_cov_23.223710	cyclic-lactone-autoinducer	RiPPs		
ERR1190811_bin.81.fa_BGC_c00001_NODE_4_...region003	c00001_NODE_4_..	NODE_4_length_229647_cov_23.223710	cyclic-lactone-autoinducer	RiPPs		
