#BGC Name	Family Number
ERR1190811_bin.10.fa_BGC_c00001_NODE_3_...region001	0
ERR1190811_bin.19.fa_BGC_c00021_NODE_94...region001	3
ERR1190811_bin.25.fa_BGC_c00020_NODE_12...region001	11
ERR1190811_bin.26.fa_BGC_c00118_NODE_44...region001	12
ERR1190811_bin.3.fa_BGC_c00043_NODE_16...region001	17
ERR1190811_bin.31.fa_BGC_c00009_NODE_30...region001	19
ERR1190811_bin.37.fa_BGC_c00006_NODE_71...region001	22
ERR1190811_bin.38.fa_BGC_c00003_NODE_44...region001	24
ERR1190811_bin.2.fa_BGC_c00003_NODE_59...region001	25
ERR1190811_bin.4.fa_BGC_c00008_NODE_68...region001	25
ERR1190811_bin.32.fa_BGC_c00265_NODE_21...region001	28
ERR1190811_bin.41.fa_BGC_c00012_NODE_87...region001	28
ERR1190811_bin.41.fa_BGC_c00012_NODE_87...region002	29
ERR1190811_bin.42.fa_BGC_c00006_NODE_40...region001	30
ERR1190811_bin.2.fa_BGC_c00014_NODE_32...region001	31
ERR1190811_bin.43.fa_BGC_c00008_NODE_48...region001	31
ERR1190811_bin.43.fa_BGC_c00095_NODE_58...region001	32
ERR1190811_bin.51.fa_BGC_c00125_NODE_66...region001	35
ERR1190811_bin.2.fa_BGC_c00032_NODE_92...region001	44
ERR1190811_bin.2.fa_BGC_c00037_NODE_11...region001	44
ERR1190811_bin.3.fa_BGC_c00008_NODE_19...region001	44
ERR1190811_bin.3.fa_BGC_c00024_NODE_79...region001	44
ERR1190811_bin.50.fa_BGC_c00006_NODE_91...region001	44
ERR1190811_bin.54.fa_BGC_c00013_NODE_24...region001	44
ERR1190811_bin.54.fa_BGC_c00042_NODE_13...region001	44
ERR1190811_bin.54.fa_BGC_c00055_NODE_25...region001	44
ERR1190811_bin.57.fa_BGC_c00002_NODE_84...region001	51
ERR1190811_bin.52.fa_BGC_c00041_NODE_18...region001	58
ERR1190811_bin.58.fa_BGC_c00148_NODE_80...region001	58
ERR1190811_bin.59.fa_BGC_c00148_NODE_85...region001	58
ERR1190811_bin.2.fa_BGC_c00017_NODE_42...region001	62
ERR1190811_bin.54.fa_BGC_c00063_NODE_34...region001	62
ERR1190811_bin.54.fa_BGC_c00081_NODE_54...region001	62
ERR1190811_bin.58.fa_BGC_c00087_NODE_50...region001	62
ERR1190811_bin.66.fa_BGC_c00005_NODE_61...region001	62
ERR1190811_bin.2.fa_BGC_c00015_NODE_34...region001	63
ERR1190811_bin.2.fa_BGC_c00047_NODE_16...region001	63
ERR1190811_bin.3.fa_BGC_c00004_NODE_12...region001	63
ERR1190811_bin.54.fa_BGC_c00057_NODE_26...region001	63
ERR1190811_bin.66.fa_BGC_c00019_NODE_18...region001	63
ERR1190811_bin.56.fa_BGC_c00083_NODE_57...region001	66
ERR1190811_bin.57.fa_BGC_c00005_NODE_41...region001	66
ERR1190811_bin.7.fa_BGC_c00001_NODE_10...region001	66
ERR1190811_bin.37.fa_BGC_c00076_NODE_36...region001	67
ERR1190811_bin.41.fa_BGC_c00001_NODE_6_...region001	67
ERR1190811_bin.52.fa_BGC_c00007_NODE_29...region001	67
ERR1190811_bin.7.fa_BGC_c00008_NODE_80...region001	67
ERR1190811_bin.54.fa_BGC_c00012_NODE_23...region001	69
ERR1190811_bin.57.fa_BGC_c00013_NODE_11...region001	69
ERR1190811_bin.61.fa_BGC_c00061_NODE_23...region001	69
ERR1190811_bin.7.fa_BGC_c00018_NODE_14...region001	69
ERR1190811_bin.57.fa_BGC_c00070_NODE_65...region001	76
ERR1190811_bin.66.fa_BGC_c00187_NODE_10...region001	76
ERR1190811_bin.75.fa_BGC_c00007_NODE_14...region001	76
ERR1190811_bin.15.fa_BGC_c00031_NODE_37...region001	77
ERR1190811_bin.51.fa_BGC_c00149_NODE_78...region001	77
ERR1190811_bin.78.fa_BGC_c00075_NODE_98...region001	77
ERR1190811_bin.33.fa_BGC_c00003_NODE_14...region001	79
ERR1190811_bin.55.fa_BGC_c00016_NODE_11...region001	79
ERR1190811_bin.8.fa_BGC_c00007_NODE_31...region001	79
ERR1190811_bin.15.fa_BGC_c00014_NODE_24...region001	80
ERR1190811_bin.55.fa_BGC_c00002_NODE_31...region001	80
ERR1190811_bin.8.fa_BGC_c00008_NODE_34...region001	80
ERR1190811_bin.59.fa_BGC_c00295_NODE_22...region001	81
ERR1190811_bin.78.fa_BGC_c00210_NODE_17...region001	81
ERR1190811_bin.80.fa_BGC_c00017_NODE_12...region001	81
ERR1190811_bin.64.fa_BGC_c00040_NODE_23...region001	82
ERR1190811_bin.7.fa_BGC_c00011_NODE_61...region001	82
ERR1190811_bin.80.fa_BGC_c00025_NODE_14...region001	82
ERR1190811_bin.3.fa_BGC_c00050_NODE_24...region001	84
ERR1190811_bin.50.fa_BGC_c00004_NODE_47...region001	84
ERR1190811_bin.54.fa_BGC_c00006_NODE_13...region001	84
ERR1190811_bin.72.fa_BGC_c00034_NODE_28...region001	84
ERR1190811_bin.73.fa_BGC_c00043_NODE_15...region001	84
ERR1190811_bin.81.fa_BGC_c00001_NODE_4_...region001	84
ERR1190811_bin.3.fa_BGC_c00001_NODE_18...region001	85
ERR1190811_bin.4.fa_BGC_c00026_NODE_13...region001	85
ERR1190811_bin.54.fa_BGC_c00002_NODE_57...region001	85
ERR1190811_bin.59.fa_BGC_c00025_NODE_29...region001	85
ERR1190811_bin.73.fa_BGC_c00040_NODE_13...region001	85
ERR1190811_bin.73.fa_BGC_c00044_NODE_16...region001	85
ERR1190811_bin.75.fa_BGC_c00004_NODE_96...region001	85
ERR1190811_bin.80.fa_BGC_c00037_NODE_19...region001	85
ERR1190811_bin.81.fa_BGC_c00001_NODE_4_...region002	85
ERR1190811_bin.66.fa_BGC_c00066_NODE_38...region001	86
ERR1190811_bin.73.fa_BGC_c00001_NODE_10...region001	86
ERR1190811_bin.81.fa_BGC_c00001_NODE_4_...region003	86
